class,family,genus,species,spanish_name,english_name
Magnoliopsida,Acanthaceae,Acanthus,mollis,Acanto,Bear's breeches
Magnoliopsida,Adoxaceae,Sambucus,ebulus,Yezgo,Dwarf elder
Magnoliopsida,Adoxaceae,Sambucus,nigra,Saúco,Elder
Magnoliopsida,Adoxaceae,Sambucus,racemosa,,Red-berried elder
Magnoliopsida,Adoxaceae,Viburnum,lantana,Morrionera,Wayfaring tree
Magnoliopsida,Adoxaceae,Viburnum,opulus,Mundillo,Guelder-rose
Magnoliopsida,Adoxaceae,Viburnum,tinus,Durillo,Laurustinus
Magnoliopsida,Aizoaceae,Mesembryanthemum,crystallinum,,Ice plant
Liliopsida,Alismataceae,Alisma,lanceolatum,,
Liliopsida,Alismataceae,Alisma,plantago-aquatica,Llantén de agua,Water plantain
Magnoliopsida,Amaranthaceae,Achyranthes,sicula,,
Magnoliopsida,Amaranthaceae,Achyranthes,aspera,Cadillo,Prickly chaff flower
Magnoliopsida,Amaranthaceae,Amaranthus,blitum,Bledo,Purple amaranth
Magnoliopsida,Amaranthaceae,Amaranthus,graecizans,,
Magnoliopsida,Amaranthaceae,Atriplex,campestris,,
Magnoliopsida,Amaranthaceae,Atriplex,halimus,Salado blanco,Sea purslane
Magnoliopsida,Amaranthaceae,Atriplex,littoralis,,Shore orache
Magnoliopsida,Amaranthaceae,Atriplex,patula,Orache,Common orache
Magnoliopsida,Amaranthaceae,Atriplex,rosea,,Rose orache
Magnoliopsida,Amaranthaceae,Chenopodium,album,Cenizo,Fat hen
Magnoliopsida,Amaranthaceae,Chenopodium,ambrosioides,Pazote,Mexican tea
Magnoliopsida,Amaranthaceae,Chenopodium,bonus-henricus,Bon Enrique,Good King Henry
Magnoliopsida,Amaranthaceae,Chenopodium,hybridum,,Maple-leaved goosefoot
Magnoliopsida,Amaranthaceae,Chenopodium,murale,Cenizo mural,Nettle-leaved goosefoot
Magnoliopsida,Amaranthaceae,Chenopodium,quinoa,Quinoa,Quinoa
Magnoliopsida,Amaranthaceae,Chenopodium,vulvaria,Cenizo hediondo,Stinking goosefoot
Magnoliopsida,Amaranthaceae,Dysphania,botrys,,
Magnoliopsida,Amaranthaceae,Dysphania,ambrosioides,Pazote,Mexican tea
Magnoliopsida,Amaranthaceae,Oxybasis,glauca,,
Magnoliopsida,Amaranthaceae,Sueda,vera,,
Magnoliopsida,Amaranthaceae,Sula,capillata,,
Magnoliopsida,Amaranthaceae,Sula,coronaria,,
Magnoliopsida,Amaranthaceae,Sula,perenne,,
Liliopsida,Amaryllidaceae,Allium,ampeloprasum,Ajoporro silvestre,Wild leek
Liliopsida,Amaryllidaceae,Allium,carinatum,Ajo quillado,Keeled garlic
Liliopsida,Amaryllidaceae,Allium,chamaemoly,,
Liliopsida,Amaryllidaceae,Allium,ericetorum,,
Liliopsida,Amaryllidaceae,Allium,fistulosum,Cebolleta,Welsh onion
Liliopsida,Amaryllidaceae,Allium,flavum,Ajo amarillo,Yellow garlic
Liliopsida,Amaryllidaceae,Allium,lusitanicum,Ajo ibérico,
Liliopsida,Amaryllidaceae,Allium,moly,Ajo amarillo,Lily leek
Liliopsida,Amaryllidaceae,Allium,neapolitanum,Ajo de Nápoles,Daffodil garlic
Liliopsida,Amaryllidaceae,Allium,nigrum,Ajo negro,Black garlic
Liliopsida,Amaryllidaceae,Allium,oleraceum,Ajo puerro silvestre,Field garlic
Liliopsida,Amaryllidaceae,Allium,pallens,,
Liliopsida,Amaryllidaceae,Allium,paniculatum,Ajo paniculado,
Liliopsida,Amaryllidaceae,Allium,porrum,Puerro,Leek
Liliopsida,Amaryllidaceae,Allium,pyrenaicum,,Pyrenean garlic
Liliopsida,Amaryllidaceae,Allium,roseum,Ajo rosado,Rosy garlic
Liliopsida,Amaryllidaceae,Allium,sativum,Ajo,Garlic
Liliopsida,Amaryllidaceae,Allium,schoenoprasum,Cebollino,Chives
Liliopsida,Amaryllidaceae,Allium,senerescens,,
Liliopsida,Amaryllidaceae,Allium,sphaerocephalon,Ajo de culebra,Round-headed leek
Liliopsida,Amaryllidaceae,Allium,ursinun,Ajo de oso,Ramsons
Liliopsida,Amaryllidaceae,Allium,victorialis,,
Liliopsida,Amaryllidaceae,Allium,vineale,Ajo de viña,Crow garlic
Liliopsida,Amaryllidaceae,Narcissus,assoanus,,
Liliopsida,Amaryllidaceae,Narcissus,bulbocodium,Narciso,Hoop-petticoat daffodil
Liliopsida,Amaryllidaceae,Narcissus,cantabricus,,
Liliopsida,Amaryllidaceae,Narcissus,minor,,
Liliopsida,Amaryllidaceae,Narcissus,obsoletus,,
Liliopsida,Amaryllidaceae,Narcissus,papyraceus,,Paper-white narcissus
Liliopsida,Amaryllidaceae,Narcissus,pseudonarcissus,Narciso,Wild daffodil
Liliopsida,Amaryllidaceae,Narcissus,serotinus,,
Magnoliopsida,Anacardiaceae,Rhus,coriaria,Zumaque,Tanner's sumach
Magnoliopsida,Apiaceae,Aegopodium,podagraria,Pie de cabra,Ground elder
Magnoliopsida,Apiaceae,Aethusa,cynapium,Perejil de perro,Fool's parsley
Magnoliopsida,Apiaceae,Ammi,majus,Biznaga mayor,Bullwort
Magnoliopsida,Apiaceae,Ammi,visnaga,Biznaga,Toothpick weed
Magnoliopsida,Apiaceae,Anethum,graveolens,Eneldo,Dill
Magnoliopsida,Apiaceae,Angelica,archangelica,Angélica,Angelica
Magnoliopsida,Apiaceae,Angelica,sylvestris,Angélica silvestre,Wild angelica
Magnoliopsida,Apiaceae,Anthriscus,cerefolium,Perifollo,Chervil
Magnoliopsida,Apiaceae,Anthriscus,nitidus,,
Magnoliopsida,Apiaceae,Anthriscus,sylvestris,Perifollo silvestre,Cow parsley
Magnoliopsida,Apiaceae,Apium,graveolens,Apio,Celery
Magnoliopsida,Apiaceae,Astrantia,major,Astrancia mayor,Greater masterwort
Magnoliopsida,Apiaceae,Athamanta,cretensis,,
Magnoliopsida,Apiaceae,Athamanta,turbith,,
Magnoliopsida,Apiaceae,Athamanta,villarsii,,
Magnoliopsida,Apiaceae,Bifora,radians,,
Magnoliopsida,Apiaceae,Bupleurum,baldense,,
Magnoliopsida,Apiaceae,Bupleurum,fruticosum,Matabuey,Shrubby hare's ear
Magnoliopsida,Apiaceae,Bupleurum,lancifolium,,
Magnoliopsida,Apiaceae,Bupleurum,praealtum,,
Magnoliopsida,Apiaceae,Bupleurum,ranunculoides,,
Magnoliopsida,Apiaceae,Bupleurum,rotundifolium,Perfoliata,Roundleaved hare's ear
Magnoliopsida,Apiaceae,Carum,carvi,Carvia,Caraway
Magnoliopsida,Apiaceae,Cervaria,minor,,
Magnoliopsida,Apiaceae,Cervaria,rivini,,
Magnoliopsida,Apiaceae,Chaerophyllum,aureum,,
Magnoliopsida,Apiaceae,Chaerophyllum,hirsutum,,Hairy chervil
Magnoliopsida,Apiaceae,Chaerophyllum,temulum,Perifollo cicutario,Rough chervil
Magnoliopsida,Apiaceae,Cicuta,virosa,Cicuta mayor,Cowbane
Magnoliopsida,Apiaceae,Coriandrum,sativum,Cilantro,Coriander
Magnoliopsida,Apiaceae,Crithmum,maritimum,Hinojo marino,Rock samphire
Magnoliopsida,Apiaceae,Cuminum,cyminum,Comino,Cumin
Magnoliopsida,Apiaceae,Daucus,carota,Zanahoria silvestre,Wild carrot
Magnoliopsida,Apiaceae,Eryngium,campestre,Cardo corredor,Field eryngo
Magnoliopsida,Apiaceae,Eryngium,maritimum,Cardo marino,Sea holly
Magnoliopsida,Apiaceae,Eryngium,planum,Eringio azul,Flat sea holly
Magnoliopsida,Apiaceae,Eryngium,spinalba,,
Magnoliopsida,Apiaceae,Ferula,communis,Cañaheja,Giant fennel
Magnoliopsida,Apiaceae,Heracleum,mantegazzianum,Heracleum gigante,Giant hogweed
Magnoliopsida,Apiaceae,Heracleum,sphondylium,Branca ursina,Hogweed
Magnoliopsida,Apiaceae,Laserpitium,gallicum,,
Magnoliopsida,Apiaceae,Laserpitium,latifolium,,
Magnoliopsida,Apiaceae,Laserpitium,nestleri,,
Magnoliopsida,Apiaceae,Laserpitium,siler,Siler,
Magnoliopsida,Apiaceae,Oenanthe,aquatica,Enante acuático,Fine-leaved water dropwort
Magnoliopsida,Apiaceae,Oenanthe,crocata,Enante azafranado,Hemlock water dropwort
Magnoliopsida,Apiaceae,Oenanthe,fistulosa,Enante fistuloso,Tubular water dropwort
Magnoliopsida,Apiaceae,Oenanthe,lachenalii,,Parsley water dropwort
Magnoliopsida,Apiaceae,Oenanthe,pimpinelloides,,Corky-fruited water dropwort
Magnoliopsida,Apiaceae,Osmorhiza,pyrenaicus,,
Magnoliopsida,Apiaceae,Pastinaca,sativa,Chirivía,Parsnip
Magnoliopsida,Apiaceae,Pastinaca,pimpinellifolia,,
Magnoliopsida,Apiaceae,Petroselinum,crispum,Perejil,Parsley
Magnoliopsida,Apiaceae,Peucedanum,cervaria,,
Magnoliopsida,Apiaceae,Peucedanum,oreoselinum,,Mountain parsley
Magnoliopsida,Apiaceae,Peucedanum,ostruthium,Imperatoria,Masterwort
Magnoliopsida,Apiaceae,Pimpinella,anisum,Anís,Anise
Magnoliopsida,Apiaceae,Pimpinella,major,,Greater burnet-saxifrage
Magnoliopsida,Apiaceae,Pimpinella,saxifraga,Pimpinela menor,Burnet-saxifrage
Magnoliopsida,Apiaceae,Sanicula,europaea,Sanícula,Sanicle
Magnoliopsida,Apiaceae,Selinum,carvifolia,,
Magnoliopsida,Apiaceae,Seseli,elatum,,
Magnoliopsida,Apiaceae,Seseli,hippomarathrum,,
Magnoliopsida,Apiaceae,Seseli,libanotis,,
Magnoliopsida,Apiaceae,Seseli,montanum,,
Magnoliopsida,Apiaceae,Seseli,outumnale,,
Magnoliopsida,Apiaceae,Tordylium,apulum,,
Magnoliopsida,Apiaceae,Tordylium,maximum,,
Magnoliopsida,Apocynaceae,Nerium,oleander,Adelfa,Oleander
Magnoliopsida,Apocynaceae,Vinca,difformis,,
